User Name,Book Title,Book Author,Genre,Sub-Genre
BoldDeer,Looking For Group,Alexis Hall,Fiction,Literary Fiction
BoldDeer,Running Close to the Wind,Alexandra Rowland,Fiction,Literary Fiction
BoldDeer,The Gentleman's Book of Vices,Jess Everlee,Fiction,Literary Fiction
BoldDeer,Confounding Oaths,Alexis Hall,Fiction,Literary Fiction
BoldDeer,Lotus Empire,Tasha Suri,Fiction,Literary Fiction
BoldDeer,Mortal Follies,Alexis Hall,Fiction,Literary Fiction
BoldDeer,The Very Secret Society of Irregular Witches,Sangu Mandanna,Fiction,Fantasy
BoldDeer,Someone You Can Build a Nest In,John Wiswell,Fiction,Literary Fiction
BoldDeer,Service Model,Adrian Tchaikovsky,Fiction,Literary Fiction
BoldDeer,Children of Time,Adrian Tchaikovsky,Fiction,Literary Fiction
BoldDeer,Starter Villian,John Scalzi,Fiction,Literary Fiction
BoldDeer,The Ministry of Time,Kaliane Bradley,Fiction,Literary Fiction
BoldDeer,Masters of Death,Olivie Blake,Fiction,Literary Fiction
MA_Lucy,Red Rising,Pierce Brown,Fiction,Fantasy
MA_Lucy,Iron Gold,Pierce Brown,Fiction,Fantasy
MA_Lucy,Just Mercy,Bryan Stevenson,Fiction,Literary Fiction
MA_Lucy,The Will of the Many,James Islington,Fiction,Fantasy
MA_Lucy,Dungeon Crawler Carl,Matt Dinniman,Fiction,Literary Fiction
MA_Lucy,The Final Empire,Brandon Sanderson,Fiction,Fantasy
MA_Lucy,Dune,Frank Herbert,Fiction,Fantasy
MA_Lucy,A Shadow of What Was Lost,James Islington,Fiction,Literary Fiction
MA_Lucy,Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,Literary Fiction
MA_Lucy,Buffalo Hunter Hunger,Stephen Jones,Fiction,Literary Fiction
MA_Lucy,Broken Country,Clarke Leslie Hall,Fiction,Literary Fiction
MA_Lucy,Of Mice and Men,John Steinbeck,Fiction,Literary Fiction
MA_Lucy,Daughter of No Worlds,Carissa Broadbent,Fiction,Literary Fiction
SunnyEel,Red Rising,Pierce Brown,Fiction,Fantasy
SunnyEel,Light Bringer,Pierce Brown,Fiction,Fantasy
SunnyEel,Fourth Wing,Rebacca Yarros,Fiction,Literary Fiction
SunnyEel,Gone to See the River Man,Kristopher Triana,Fiction,Literary Fiction
SunnyEel,Butcher and Blackbird,Brynne Weaver,Fiction,Literary Fiction
SunnyEel,A Court of Mist and Fury,Sarah Maas,Fiction,Fantasy
SunnyEel,Court of Wings and Ruin,Sarah Maas,Fiction,Fantasy
SunnyEel,All the Lies,S.T. Abby,Fiction,Literary Fiction
SunnyEel,Paint It All Red,S.T. Abby,Fiction,Literary Fiction
SunnyEel,Phantasma,Kaylie Smith,Fiction,Literary Fiction
SunnyEel,Daughter of the Pirate King,Tricia Levenseller,Fiction,Literary Fiction
SunnyEel,The Long Walk,Stephen King,Fiction,Horror
SunnyEel,Shield of Sparrows,Devney Perrty,Fiction,Literary Fiction
CA_Odin,Stoner,John Williams,Fiction,Literary Fiction
CA_Odin,The Strength of the Few,James Islington,Fiction,Literary Fiction
CA_Odin,Slaughterhouse Five,Kurt Vonnegut,Fiction,Literary Fiction
CA_Odin,Gates of Fire,Steven Pressfield,Fiction,Literary Fiction
CA_Odin,Hard Rain Falling,Don Carpenter,Fiction,Literary Fiction
CA_Odin,Destiny Disrupted,Tamim Ansary,Fiction,Literary Fiction
CA_Odin,Drop of Corruption,Robert Bennett,Fiction,Literary Fiction
CA_Odin,A Short Stay In Hell,Steven Peck,Fiction,Literary Fiction
CA_Odin,Confusion,Stefan Zweig,Fiction,Literary Fiction
CA_Odin,Chess Story,Stefan Zweig,Fiction,Literary Fiction
CA_Odin,I Who Have Never Known Men,Jacqueline harpman,Fiction,Literary Fiction
CA_Odin,James,Percival Everett,Fiction,Literary Fiction
CA_Odin,Say Nothing,Patrick Keefe,Fiction,Literary Fiction
CA_Odin,Fifty Fifty,Steve Cavanagh,Fiction,Literary Fiction
CA_Odin,The Sacred Band,James Romm,Fiction,Literary Fiction
CA_Odin,Martyr!,Kaveh Akbar,Fiction,Literary Fiction
CA_Odin,The Devils,Joe Abercrombie,Fiction,Literary Fiction
CA_Odin,Jesus' Son,Denis Johnson,Fiction,Literary Fiction
CA_Odin,Blood Over Bright Haven,M.L. Wang,Fiction,Literary Fiction
CA_Odin,All The Sinners Bleed,S.A. Cosby,Fiction,Literary Fiction
CA_Odin,Small Boat,Vincent Delecroix,Fiction,Literary Fiction
CleverCub,Man Eaters of Kumaon,Jim Corbett,Fiction,Literary Fiction
CleverCub,The Deerslayer,James Fenimore Cooper,Fiction,Literary Fiction
CleverCub,The Legacy of Heorot,Larry Niven,Fiction,Literary Fiction
CleverCub,Eaters of the Dead,Michael Crichton,Fiction,Literary Fiction
CleverCub,I Am Legend,Richard Matheson,Fiction,Literary Fiction
CleverCub,Child of God,Cormac McCarthy,Fiction,Literary Fiction
CleverCub,The Road,Cormac McCarthy,Fiction,Literary Fiction
CleverCub,Hothouse,Brian Aldiss,Fiction,Literary Fiction
CleverCub,The Hobbit,J.R.R. Tolkien,Fiction,Fantasy
CleverCub,Twenty Thousand Leagues Under the Sea,Jules Verne,Fiction,Sci-Fi
CleverCub,The Last of the Mohicans,James Fenimore Cooper,Fiction,Literary Fiction
CleverCub,Blood Meridian,Cormac McCarthy,Fiction,Literary Fiction
CleverCub,The Iron Marshall,Louis L'Amour,Fiction,Literary Fiction
RI_Max,Infinite Jest,David Foster Wallace,Fiction,Literary Fiction
RI_Max,Oxherding Tale,Charles Johnson,Fiction,Literary Fiction
RI_Max,Train Dreams,Denis Johnson,Fiction,Literary Fiction
RI_Max,Siddhartha,Herman Hesse,Fiction,Literary Fiction
RI_Max,One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,Literary Fiction
RI_Max,East of Eden,John Steinbeck,Fiction,Literary Fiction
RI_Max,The Shawl,Cynthia Ozick,Fiction,Literary Fiction
RI_Max,The Stranger,Albert Camus,Fiction,Literary Fiction
RI_Max,The Insulted and Humiliated,Fyodor Dostoevsky,Fiction,Literary Fiction
RI_Max,No Exit,Taylor Adams,Fiction,Literary Fiction
RI_Max,Bluebeard,Kurt Vonnegut,Fiction,Literary Fiction
RI_Max,The Heart is a Lonely Hunter,Carson McCullers,Fiction,Literary Fiction
RI_Max,Consider the Lobster,David Foster Wallace,Fiction,Literary Fiction
RI_Max,The Last Samurai,Helen Dewitt,Fiction,Literary Fiction
WildHawk,All The Pretty Horses,Cormac McCarthy,Fiction,Literary Fiction
WildHawk,Hondo,Louis L'Amour,Fiction,Literary Fiction
WildHawk,Alias Grace,Margaret Atwood,Fiction,Literary Fiction
WildHawk,The Night Circus,Erin Morgernstern,Fiction,Literary Fiction
WildHawk,The Boy on the Bridge,M.R. Carey,Fiction,Literary Fiction
WildHawk,Case Histories,Kate Atkinson,Fiction,Mystery/Thrillers
WildHawk,The Girl With All the Gifts,M.R. Carey,Fiction,Literary Fiction
WildHawk,Leaf Storm,Gabriel Garcia Marquez,Fiction,Literary Fiction
NJ_Luna,The Stand,Stephen King,Fiction,Literary Fiction
NJ_Luna,Wizard and Glass,Stephen King,Fiction,Horror
NJ_Luna,Piranesi,Susanna Clarke,Fiction,Fantasy
NJ_Luna,Dark Matter,Blake Crouch,Fiction,Sci-Fi
NJ_Luna,Hyperion,Dan Simmons,Fiction,Sci-Fi
NJ_Luna,The Dragon Reborn,Robert Jordan,Fiction,Fantasy
NJ_Luna,The Silent Patient,Alex Michaelides,Fiction,Mystery/Thrillers
NJ_Luna,Flowers For Algernon,Daniel Keyes,Fiction,Sci-Fi
NJ_Luna,Roadside Picnic,Arkady Strugatsky,Fiction,Sci-Fi
